id_sport;nom_sport;MET;kcal_h_60kg;kcal_h_70kg;kcal_h_80kg
1.0;Marche lente (3 km/h);2.5;150.0;175.0;200.0
2.0;Marche normale (5 km/h);3.5;210.0;245.0;280.0
3.0;Marche rapide (6.5 km/h);4.5;270.0;315.0;360.0
4.0;Course à pied (8 km/h);8.0;480.0;560.0;640.0
5.0;Course rapide (10 km/h);10.0;600.0;700.0;800.0
6.0;Course très rapide (12 km/h);12.5;750.0;875.0;1000.0
7.0;Course sprint (>16 km/h);15.0;900.0;1050.0;1200.0
8.0;Vélo loisir (10-12 km/h);4.0;240.0;280.0;320.0
9.0;Vélo modéré (16-19 km/h);6.8;408.0;476.0;544.0
10.0;Vélo rapide (20-22 km/h);8.0;480.0;560.0;640.0
11.0;Vélo intense (>25 km/h);12.0;720.0;840.0;960.0
12.0;Natation lente;6.0;360.0;420.0;480.0
13.0;Natation modérée (crawl);8.0;480.0;560.0;640.0
14.0;Natation intense (papillon);10.0;600.0;700.0;800.0
15.0;Aviron loisir;3.5;210.0;245.0;280.0
16.0;Aviron intense;7.0;420.0;490.0;560.0
17.0;Basketball (jeu);8.0;480.0;560.0;640.0
18.0;Basketball (tir au panier);4.5;270.0;315.0;360.0
19.0;Football / Soccer (match);8.0;480.0;560.0;640.0
20.0;Football (loisir);6.0;360.0;420.0;480.0
21.0;Tennis simple;7.3;438.0;511.0;584.0
22.0;Tennis double;6.0;360.0;420.0;480.0
23.0;Badminton;7.0;420.0;490.0;560.0
24.0;Rugby;8.3;498.0;581.0;664.0
25.0;Boxe (combat);12.0;720.0;840.0;960.0
26.0;Boxe (sac d'entraînement);7.0;420.0;490.0;560.0
27.0;Musculation (modérée);4.0;240.0;280.0;320.0
28.0;Musculation (intense);6.0;360.0;420.0;480.0
29.0;CrossFit / circuit training;8.0;480.0;560.0;640.0
30.0;Yoga doux;2.5;150.0;175.0;200.0
31.0;Yoga dynamique;4.0;240.0;280.0;320.0
32.0;Pilates;3.0;180.0;210.0;240.0
33.0;Danse lente;3.0;180.0;210.0;240.0
34.0;Danse modérée;5.5;330.0;385.0;440.0
35.0;Danse intense (hip hop, cardio);7.3;438.0;511.0;584.0
36.0;Escalade indoor;8.0;480.0;560.0;640.0
37.0;Randonnée facile;6.0;360.0;420.0;480.0
38.0;Randonnée en montagne;7.0;420.0;490.0;560.0
39.0;Ski alpin;7.0;420.0;490.0;560.0
40.0;Ski de fond modéré;9.0;540.0;630.0;720.0
41.0;Snowboard;5.0;300.0;350.0;400.0
42.0;Patinage sur glace;7.0;420.0;490.0;560.0
43.0;Corde à sauter modérée;10.0;600.0;700.0;800.0
44.0;Corde à sauter intense;12.0;720.0;840.0;960.0
45.0;Arts martiaux (karaté, judo);10.0;600.0;700.0;800.0
46.0;Boxe thaï / kickboxing;12.0;720.0;840.0;960.0
47.0;Golf (marche, port sac);4.8;288.0;336.0;384.0
48.0;Golf (voiturette);2.5;150.0;175.0;200.0
49.0;Volleyball (loisir);3.0;180.0;210.0;240.0
50.0;Volleyball (compétition);6.0;360.0;420.0;480.0
